palm_id,t,status,at_risk,deg,n_nb_obs,n_nb_sympt,n_nb_dead,prev_global
D5L2_16,0.5,A,1,6,6,0,0,0.0008333333333333334
D5L2_17,0.5,A,1,6,6,0,0,0.0008333333333333334
D5L2_18,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L2_16,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L2_17,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L2_18,0.5,A,1,5,5,0,0,0.0008333333333333334
D2L3_19,0.5,A,1,5,5,0,0,0.0008333333333333334
D2L3_20,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L3_21,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L1_19,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L1_20,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L1_21,0.5,A,1,6,6,0,0,0.0008333333333333334
D5L2_19,0.5,A,1,6,6,0,0,0.0008333333333333334
D5L2_20,0.5,A,1,6,6,0,0,0.0008333333333333334
D5L2_21,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L2_19,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L2_20,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L2_21,0.5,A,1,3,3,0,0,0.0008333333333333334
D2L3_22,0.5,A,1,3,3,0,0,0.0008333333333333334
D2L3_23,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L3_24,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L1_22,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L1_23,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L1_24,0.5,A,1,6,6,0,0,0.0008333333333333334
D5L2_22,0.5,A,1,6,6,0,0,0.0008333333333333334
D5L2_23,0.5,A,1,6,6,0,0,0.0008333333333333334
D5L2_24,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L2_22,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L2_23,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L2_24,0.5,A,1,5,5,0,0,0.0008333333333333334
D2L3_25,0.5,A,1,5,5,0,0,0.0008333333333333334
D2L3_26,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L3_27,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L1_25,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L1_26,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L1_27,0.5,A,1,6,6,0,0,0.0008333333333333334
D5L2_25,0.5,A,1,6,6,0,0,0.0008333333333333334
D5L2_26,0.5,A,1,6,6,0,0,0.0008333333333333334
D5L2_27,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L2_25,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L2_26,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L2_27,0.5,A,1,3,3,0,0,0.0008333333333333334
D2L3_28,0.5,A,1,3,3,0,0,0.0008333333333333334
D2L3_29,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L3_30,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L1_28,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L1_29,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L1_30,0.5,A,1,6,6,0,0,0.0008333333333333334
D5L2_28,0.5,A,1,6,6,0,0,0.0008333333333333334
D5L2_29,0.5,A,1,6,6,0,0,0.0008333333333333334
D5L2_30,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L2_28,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L2_29,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L2_30,0.5,A,1,5,5,0,0,0.0008333333333333334
D3Y1_31,0.5,A,1,5,5,0,0,0.0008333333333333334
D3Y1_32,0.5,A,1,6,6,0,0,0.0008333333333333334
D3Y1_33,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L1_31,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L1_32,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L1_33,0.5,A,1,6,6,0,0,0.0008333333333333334
D3Y1_34,0.5,A,1,6,6,0,0,0.0008333333333333334
D3Y1_35,0.5,A,1,6,6,0,0,0.0008333333333333334
D3Y1_36,0.5,A,1,6,6,0,0,0.0008333333333333334
D3L1_16,0.5,A,1,6,6,0,0,0.0008333333333333334
D3L1_17,0.5,A,1,6,6,0,0,0.0008333333333333334
D3L1_18,0.5,A,1,3,3,0,0,0.0008333333333333334
D3Y1_37,0.5,A,1,3,3,0,0,0.0008333333333333334
