palm_id,progeny,ga_parent,gb_parent,parcel,plot,xm,ym,event_t1s,y_t1s,event_td,y_td,fold
D4L3_1,D4L3,D4,L3,44A,77,20.784609690826528,12.0,1,13.0,1,13.5,44A
D4L3_2,D4L3,D4,L3,44A,77,20.784609690826528,13.0,1,24.5,0,25.5,44A
D4L3_3,D4L3,D4,L3,44A,77,20.784609690826528,14.0,1,24.5,1,25.0,44A
D5L2_4,D5L2,D5,L2,44A,65,21.65063509461097,3.5,0,25.5,0,25.5,44A
D5L2_5,D5L2,D5,L2,44A,65,21.65063509461097,4.5,0,7.0,0,7.0,44A
D5L2_6,D5L2,D5,L2,44A,65,21.65063509461097,5.5,0,25.5,0,25.5,44A
D5L3_4,D5L3,D5,L3,44A,69,21.65063509461097,6.5,1,17.5,1,20.5,44A
D5L3_5,D5L3,D5,L3,44A,69,21.65063509461097,7.5,0,25.5,0,25.5,44A
D5L3_6,D5L3,D5,L3,44A,69,21.65063509461097,8.5,1,23.0,1,25.5,44A
D2L3_4,D2L3,D2,L3,44A,73,21.65063509461097,9.5,1,23.0,0,25.5,44A
D2L3_5,D2L3,D2,L3,44A,73,21.65063509461097,10.5,1,24.0,0,25.5,44A
D2L3_6,D2L3,D2,L3,44A,73,21.65063509461097,11.5,0,25.5,0,25.5,44A
D4L3_4,D4L3,D4,L3,44A,77,21.65063509461097,12.5,1,15.5,1,18.0,44A
D4L3_5,D4L3,D4,L3,44A,77,21.65063509461097,13.5,1,6.5,1,8.0,44A
D4L3_6,D4L3,D4,L3,44A,77,21.65063509461097,14.5,0,25.5,0,25.5,44A
D5L2_7,D5L2,D5,L2,44A,65,22.516660498395407,3.0,0,25.5,0,25.5,44A
D5L2_8,D5L2,D5,L2,44A,65,22.516660498395407,4.0,1,24.5,0,25.5,44A
D5L2_9,D5L2,D5,L2,44A,65,22.516660498395407,5.0,1,23.0,1,25.0,44A
D5L3_7,D5L3,D5,L3,44A,69,22.516660498395407,6.0,1,15.0,1,15.5,44A
D5L3_8,D5L3,D5,L3,44A,69,22.516660498395407,7.0,0,25.5,0,25.5,44A
D5L3_9,D5L3,D5,L3,44A,69,22.516660498395407,8.0,1,22.5,1,25.5,44A
D2L3_7,D2L3,D2,L3,44A,73,22.516660498395407,9.0,1,21.5,1,23.0,44A
D2L3_8,D2L3,D2,L3,44A,73,22.516660498395407,10.0,0,25.5,0,25.5,44A
D2L3_9,D2L3,D2,L3,44A,73,22.516660498395407,11.0,0,25.0,0,25.0,44A
D4L3_7,D4L3,D4,L3,44A,77,22.516660498395407,12.0,1,6.5,1,7.0,44A
D4L3_8,D4L3,D4,L3,44A,77,22.516660498395407,13.0,1,17.5,1,19.0,44A
D4L3_9,D4L3,D4,L3,44A,77,22.516660498395407,14.0,1,12.5,1,14.0,44A
D5L2_10,D5L2,D5,L2,44A,65,23.382685902179844,3.5,1,23.0,0,25.5,44A
D5L2_11,D5L2,D5,L2,44A,65,23.382685902179844,4.5,0,25.5,0,25.5,44A
D5L2_12,D5L2,D5,L2,44A,65,23.382685902179844,5.5,1,24.5,0,25.5,44A
D5L3_10,D5L3,D5,L3,44A,69,23.382685902179844,6.5,1,24.5,0,25.5,44A
D5L3_11,D5L3,D5,L3,44A,69,23.382685902179844,7.5,1,21.5,1,25.0,44A
D5L3_12,D5L3,D5,L3,44A,69,23.382685902179844,8.5,0,25.5,0,25.5,44A
D2L3_10,D2L3,D2,L3,44A,73,23.382685902179844,9.5,1,24.5,0,25.5,44A
D2L3_11,D2L3,D2,L3,44A,73,23.382685902179844,10.5,1,24.5,0,25.5,44A
D2L3_12,D2L3,D2,L3,44A,73,23.382685902179844,11.5,1,7.5,1,8.5,44A
D4L3_10,D4L3,D4,L3,44A,77,23.382685902179844,12.5,1,7.0,1,7.5,44A
D4L3_11,D4L3,D4,L3,44A,77,23.382685902179844,13.5,1,18.5,1,21.0,44A
D4L3_12,D4L3,D4,L3,44A,77,23.382685902179844,14.5,1,24.5,1,25.0,44A
D5L2_13,D5L2,D5,L2,44A,65,24.248711305964285,3.0,1,24.5,0,25.5,44A
D5L2_14,D5L2,D5,L2,44A,65,24.248711305964285,4.0,0,25.5,0,25.5,44A
D5L2_15,D5L2,D5,L2,44A,65,24.248711305964285,5.0,1,24.5,0,25.5,44A
D5L3_13,D5L3,D5,L3,44A,69,24.248711305964285,6.0,0,25.5,0,25.5,44A
D5L3_14,D5L3,D5,L3,44A,69,24.248711305964285,7.0,1,17.0,1,19.0,44A
D5L3_15,D5L3,D5,L3,44A,69,24.248711305964285,8.0,1,24.5,0,25.5,44A
D2L3_13,D2L3,D2,L3,44A,73,24.248711305964285,9.0,1,24.5,0,25.5,44A
D2L3_14,D2L3,D2,L3,44A,73,24.248711305964285,10.0,1,24.5,0,25.5,44A
D2L3_15,D2L3,D2,L3,44A,73,24.248711305964285,11.0,1,22.5,0,25.5,44A
D4L3_13,D4L3,D4,L3,44A,77,24.248711305964285,12.0,1,15.0,1,15.5,44A
D4L3_14,D4L3,D4,L3,44A,77,24.248711305964285,13.0,1,24.5,0,25.5,44A
D4L3_15,D4L3,D4,L3,44A,77,24.248711305964285,14.0,1,24.5,0,25.5,44A
D4L1_16,D4L1,D4,L1,44A,52,25.114736709748723,3.5,0,25.5,0,25.5,44A
D4L1_17,D4L1,D4,L1,44A,52,25.114736709748723,4.5,0,25.5,0,25.5,44A
D4L1_18,D4L1,D4,L1,44A,52,25.114736709748723,5.5,0,25.5,0,25.5,44A
D5L3_16,D5L3,D5,L3,44A,56,25.114736709748723,6.5,1,10.5,1,11.5,44A
D5L3_17,D5L3,D5,L3,44A,56,25.114736709748723,7.5,1,14.0,1,14.5,44A
D5L3_18,D5L3,D5,L3,44A,56,25.114736709748723,8.5,0,25.5,0,25.5,44A
D1Y1_16,D1Y1,D1,Y1,44A,60,25.114736709748723,9.5,0,25.5,0,25.5,44A
D1Y1_17,D1Y1,D1,Y1,44A,60,25.114736709748723,10.5,0,25.5,0,25.5,44A
D1Y1_18,D1Y1,D1,Y1,44A,60,25.114736709748723,11.5,1,18.5,1,19.0,44A
D1L3_16,D1L3,D1,L3,44A,64,25.114736709748723,12.5,0,25.5,0,25.5,44A
D1L3_17,D1L3,D1,L3,44A,64,25.114736709748723,13.5,0,25.5,0,25.5,44A
D1L3_18,D1L3,D1,L3,44A,64,25.114736709748723,14.5,1,10.5,1,12.0,44A
D4L1_19,D4L1,D4,L1,44A,52,25.98076211353316,3.0,1,10.5,1,11.5,44A
D4L1_20,D4L1,D4,L1,44A,52,25.98076211353316,4.0,1,19.5,1,23.0,44A
D4L1_21,D4L1,D4,L1,44A,52,25.98076211353316,5.0,0,25.5,0,25.5,44A
D5L3_19,D5L3,D5,L3,44A,56,25.98076211353316,6.0,1,14.0,1,18.0,44A
D5L3_20,D5L3,D5,L3,44A,56,25.98076211353316,7.0,1,8.5,1,15.0,44A
D5L3_21,D5L3,D5,L3,44A,56,25.98076211353316,8.0,1,16.5,1,24.5,44A
D1Y1_19,D1Y1,D1,Y1,44A,60,25.98076211353316,9.0,0,25.5,0,25.5,44A
D1Y1_20,D1Y1,D1,Y1,44A,60,25.98076211353316,10.0,0,25.5,0,25.5,44A
D1Y1_21,D1Y1,D1,Y1,44A,60,25.98076211353316,11.0,1,5.0,1,7.0,44A
D1L3_19,D1L3,D1,L3,44A,64,25.98076211353316,12.0,0,25.5,0,25.5,44A
D1L3_20,D1L3,D1,L3,44A,64,25.98076211353316,13.0,0,6.0,0,6.0,44A
D1L3_21,D1L3,D1,L3,44A,64,25.98076211353316,14.0,1,7.0,1,8.0,44A
D4L1_22,D4L1,D4,L1,44A,52,26.8467875173176,3.5,0,7.0,0,7.0,44A
D4L1_23,D4L1,D4,L1,44A,52,26.8467875173176,4.5,1,24.5,0,25.5,44A
D4L1_24,D4L1,D4,L1,44A,52,26.8467875173176,5.5,0,25.5,0,25.5,44A
D5L3_22,D5L3,D5,L3,44A,56,26.8467875173176,6.5,1,14.0,1,18.5,44A
D5L3_23,D5L3,D5,L3,44A,56,26.8467875173176,7.5,0,25.5,0,25.5,44A
D5L3_24,D5L3,D5,L3,44A,56,26.8467875173176,8.5,0,25.5,0,25.5,44A
D1Y1_22,D1Y1,D1,Y1,44A,60,26.8467875173176,9.5,1,25.5,0,25.5,44A
