rank,palm_id,parcel,plot,progeny,xm,ym,in_risk_set,status,logit,risk_percentile,risk_decile,n_neighbours,n_sick_neighbours
236,D5L3_18,44A,56,D5L3,25.1147,8.5000,1,A,0.081782,64.98,7,6,2
237,D1Y1_58,44B,22,D1Y1,30.3109,28.5000,1,A,0.081709,64.83,7,6,1
238,D3L2_60,44B,25,D3L2,34.6410,27.0000,1,A,0.081288,64.68,7,6,1
239,D2Y1_25,44A,61,D2Y1,40.7032,12.5000,1,A,0.081264,64.53,7,6,2
240,D1L3_58,44B,17,D1L3,34.6410,31.0000,1,A,0.081042,64.38,7,6,2
241,D3L1_54,44B,30,D3L1,28.5788,24.5000,1,A,0.080045,64.23,7,6,1
242,D4L1_1,44A,71,D4L1,12.1244,6.0000,1,A,0.078655,64.08,7,6,2
243,D2L1_129,44B,8,D2L1,38.1051,30.0000,1,A,0.078387,63.93,7,6,3
244,D3Y1_29,44A,78,D3Y1,19.9186,13.5000,1,A,0.077747,63.79,7,6,3
245,D2L1_55,44A,44,D2L1,45.0333,9.0000,1,A,0.077240,63.64,7,6,2
246,D3Y1_124,44B,6,D3Y1,45.0333,28.0000,1,A,0.076878,63.49,7,6,3
247,D4L1_27,44A,52,D4L1,27.7128,5.0000,1,A,0.076412,63.34,7,6,2
248,D4L3_36,44A,34,D4L3,51.9615,5.0000,1,A,0.076377,63.19,7,6,2
249,D3L1_17,44A,62,D3L1,33.7750,13.5000,1,A,0.071921,63.04,7,6,2
250,D5L3_28,44A,56,D5L3,28.5788,6.5000,1,A,0.071070,62.89,7,6,2
251,D4L1_68,44B,9,D4L1,50.2295,26.0000,1,A,0.069106,62.74,7,6,2
252,D1L3_59,44B,17,D1L3,34.6410,32.0000,1,A,0.067985,62.59,7,6,3
253,D2Y1_15,44A,70,D2Y1,19.9186,8.5000,1,A,0.067882,62.44,7,6,2
254,D2Y1_58,44B,26,D2Y1,30.3109,25.5000,1,A,0.067593,62.30,7,6,2
255,D2L1_64,44A,37,D2L1,56.2917,6.5000,1,A,0.066278,62.15,7,6,3
256,D3L2_59,44B,25,D3L2,34.6410,26.0000,1,A,0.066229,62.00,7,6,2
257,D5L3_37,44A,45,D5L3,57.1577,12.0000,1,A,0.066103,61.85,7,6,2
258,D2Y1_62,44B,7,D2Y1,39.8372,29.0000,1,A,0.064333,61.70,7,6,2
259,D3L2_31,44A,43,D3L2,46.7654,9.0000,1,A,0.064160,61.55,7,6,2
260,D3L1_37,44A,42,D3L1,52.8275,9.5000,1,A,0.063947,61.40,7,6,2
261,D2L1_63,44A,37,D2L1,55.4256,8.0000,1,A,0.063232,61.25,7,6,3
262,D1Y1_29,44A,60,D1Y1,28.5788,10.5000,1,A,0.062815,61.10,7,6,2
263,D4L3_3,44A,77,D4L3,20.7846,14.0000,1,A,0.062409,60.95,7,5,2
264,D2Y1_13,44A,70,D2Y1,19.9186,6.5000,1,A,0.062105,60.80,7,6,3
265,D5L3_26,44A,56,D5L3,27.7128,7.0000,1,A,0.061235,60.66,7,6,2
