part,dataset,fold,h,model,metric,mean,std,n,pos,verdict,strata,observed,null_mean,null_std,excess,z,n_ge,n_perm,note
DECOMP,REAL,pooled,4,total graph (true-nograph),pairedAUCPR,0.015650729088513126,0.012507612881102227,8,7,POS,,,,,,,,,
DECOMP,REAL,44A,4,total graph (true-nograph),pairedAUCPR,0.003389449722115835,0.002571285735401454,4,3,POS,,,,,,,,,
DECOMP,REAL,44B,4,total graph (true-nograph),pairedAUCPR,0.027912008454910417,0.0023645943060638893,4,4,POS,,,,,,,,,
DECOMP,REAL,pooled,4,total STGNN-MLP (true-MLP),pairedAUCPR,0.01796147795433711,0.012396737458131373,8,7,POS,,,,,,,,,
DECOMP,REAL,44A,4,total STGNN-MLP (true-MLP),pairedAUCPR,0.007483803285567567,0.008692479626659609,4,3,INCONCLUSIVE,,,,,,,,,
DECOMP,REAL,44B,4,total STGNN-MLP (true-MLP),pairedAUCPR,0.028439152623106652,0.0034979514322861505,4,4,POS,,,,,,,,,
DECOMP,REAL,pooled,4,SI(D) head (SID-true) *NOT vs synth SEIR*,pairedAUCPR,-0.04256849432473675,0.014532686144971208,8,0,NEG,,,,,,,,,
DECOMP,REAL,44A,4,SI(D) head (SID-true) *NOT vs synth SEIR*,pairedAUCPR,-0.02823769094849144,0.0032767332835945307,4,0,NEG,,,,,,,,,
DECOMP,REAL,44B,4,SI(D) head (SID-true) *NOT vs synth SEIR*,pairedAUCPR,-0.056899297700982066,0.0009576540854880359,4,0,NEG,,,,,,,,,
PERMNULL,REAL,,1,,RR,,,,,,global,5.166593122506741,3.8810647061562666,0.22937721616433582,1.3312308641263644,5.604429410414792,0,500,
PERMNULL,REAL,,1,,RR_MH,,,,,,global,1.6324103402825176,0.9980019218833251,0.10651525549367129,1.6356785538067933,5.95603339126278,0,500,
PERMNULL,REAL,,2,,RR,,,,,,global,4.738191682623852,3.527855182056249,0.2031736201528052,1.343079984326949,5.957153786290362,0,500,
PERMNULL,REAL,,2,,RR_MH,,,,,,global,1.6345800596898348,0.9997411743386131,0.1020469159534069,1.635003240484923,6.221049204868471,0,500,
PERMNULL,REAL,,3,,RR,,,,,,global,4.468499836257589,3.2898348993235382,0.1821022093593433,1.3582747988892725,6.472546055760283,0,500,
PERMNULL,REAL,,3,,RR_MH,,,,,,global,1.646190640679915,1.0003351242046945,0.09658297290076781,1.6456391471695055,6.6870535983479344,0,500,
PERMNULL,REAL,,4,,RR,,,,,,global,4.062670970364034,2.991221375920468,0.1633405783630925,1.3581980267554943,6.559604509675625,0,500,
